month,tone,frequency,department
2018-08,Negative,0.36363636363636365,Atlántico
2018-08,Neutral,0.25705329153605017,Atlántico
2018-08,Positive,0.22884012539184953,Atlántico
2018-08,Negative without reposts,0.4222222222222222,Atlántico
2018-08,Neutral without reposts,0.2388888888888889,Atlántico
2018-08,Positive without reposts,0.17777777777777778,Atlántico
2018-09,Negative,0.54858934169279,Atlántico
2018-09,Neutral,0.5799373040752351,Atlántico
2018-09,Positive,0.219435736677116,Atlántico
2018-09,Negative without reposts,0.6722222222222223,Atlántico
2018-09,Neutral without reposts,0.32222222222222224,Atlántico
2018-09,Positive without reposts,0.17777777777777778,Atlántico
2018-10,Negative,0.4106583072100313,Atlántico
2018-10,Neutral,0.4702194357366771,Atlántico
2018-10,Positive,0.23824451410658307,Atlántico
2018-10,Negative without reposts,0.5055555555555555,Atlántico
2018-10,Neutral without reposts,0.32222222222222224,Atlántico
2018-10,Positive without reposts,0.17222222222222222,Atlántico
2018-11,Negative,0.39184952978056425,Atlántico
2018-11,Neutral,0.45141065830721006,Atlántico
2018-11,Positive,0.22884012539184953,Atlántico
2018-11,Negative without reposts,0.42777777777777776,Atlántico
2018-11,Neutral without reposts,0.31666666666666665,Atlántico
2018-11,Positive without reposts,0.23333333333333334,Atlántico
2018-12,Negative,0.438871473354232,Atlántico
2018-12,Neutral,0.329153605015674,Atlántico
2018-12,Positive,0.2225705329153605,Atlántico
2018-12,Negative without reposts,0.46111111111111114,Atlántico
2018-12,Neutral without reposts,0.2388888888888889,Atlántico
2018-12,Positive without reposts,0.22777777777777777,Atlántico
2019-01,Negative,0.4608150470219436,Atlántico
2019-01,Neutral,0.1786833855799373,Atlántico
2019-01,Positive,0.1755485893416928,Atlántico
2019-01,Negative without reposts,0.55,Atlántico
2019-01,Neutral without reposts,0.19444444444444445,Atlántico
2019-01,Positive without reposts,0.17777777777777778,Atlántico
2019-02,Negative,0.6394984326018809,Atlántico
2019-02,Neutral,0.6739811912225705,Atlántico
2019-02,Positive,0.42946708463949845,Atlántico
2019-02,Negative without reposts,0.7166666666666667,Atlántico
2019-02,Neutral without reposts,0.3111111111111111,Atlántico
2019-02,Positive without reposts,0.28888888888888886,Atlántico
2019-03,Negative,0.3887147335423197,Atlántico
2019-03,Neutral,0.26959247648902823,Atlántico
2019-03,Positive,0.13166144200626959,Atlántico
2019-03,Negative without reposts,0.31666666666666665,Atlántico
2019-03,Neutral without reposts,0.19444444444444445,Atlántico
2019-03,Positive without reposts,0.15555555555555556,Atlántico
2019-04,Negative,0.3730407523510972,Atlántico
2019-04,Neutral,0.567398119122257,Atlántico
2019-04,Positive,0.21630094043887146,Atlántico
2019-04,Negative without reposts,0.48333333333333334,Atlántico
2019-04,Neutral without reposts,0.2222222222222222,Atlántico
2019-04,Positive without reposts,0.15555555555555556,Atlántico
2019-05,Negative,0.5360501567398119,Atlántico
2019-05,Neutral,1.0125391849529781,Atlántico
2019-05,Positive,0.329153605015674,Atlántico
2019-05,Negative without reposts,0.5666666666666667,Atlántico
2019-05,Neutral without reposts,0.43333333333333335,Atlántico
2019-05,Positive without reposts,0.2388888888888889,Atlántico
2019-06,Negative,0.45768025078369906,Atlántico
2019-06,Neutral,0.47962382445141066,Atlántico
2019-06,Positive,0.28213166144200624,Atlántico
2019-06,Negative without reposts,0.5944444444444444,Atlántico
2019-06,Neutral without reposts,0.36666666666666664,Atlántico
2019-06,Positive without reposts,0.24444444444444444,Atlántico
2019-07,Negative,0.2727272727272727,Atlántico
2019-07,Neutral,0.3103448275862069,Atlántico
2019-07,Positive,0.15047021943573669,Atlántico
